seq,title,content,newspaper,event,reporter,createdAt,createdBy,modifiedAt,modifiedBy,user_seq
1,123억 마무리' 언제 올지 모른다 압도적 꼴찌 한화 또 다른 비극,한화 마무리 정우람(37)은 한화와 두 차레 FA 게약에서 총 123억 원을 받았다.,MK스포츠,야구,정철우,2022-07-28 10:02,17,2022-07-28 10:17,17,17
2,"호날두는 보는 앞에서...'이적생' 에릭센, 맨유 데뷔골 '쾅'",[스포츠서울 | 강예진기자] 출발이 좋다. 비공식 경기였지만 크리스티안 에릭센이 맨체스터 유나이티드로 새 둥지를 튼 후 첫 득점을 맛봤다.,스포츠서울,축구,강예진,2022-07-28 8:33,18,2022-07-28 11:43,18,18
3,"점점 커지는 9월의 중요성… 김민재, 황인범, 손흥민 '필참'","파울루 벤투 남자 축구대표팀 감독이 6월 A매치에서 생각만큼 온전한 전력을 테스트하지 못했고, 7월의 국내파 위주 대표팀은 별다른 소집의 의미를 찾지 못했다. 결국 9월 A매치에서 온전한 전력으로 담금질하는 것이 점점 필수 과제로 떠오르고 있다.",풋볼리스트,축구,김정용,2022-07-28 7:01,19,2022-07-28 7:01,19,19
4,"첫 훈련' 김민재, '나폴리 핵' 오시멘과 충돌 '의료진까지 투입'","칼치오 메르카토', '투토 나폴리' 등 이탈리아 매체들은 29일(한국시간) 이탈리아 카스텔 디 상그로에서 첫 훈련에 나선 김민재가 훈련 도중 오시멘과 충돌, 의료진까지 출동하는 심각한 상황이 있었다고 전했다.",OSEN,축구,강필주,2022-07-29 3:38,14,2022-07-29 6:08,14,14
5,"이강인, 향후 세계 축구 10년 이끌 유망주로 뽑혀...'FIFA 선정'",이강인도 있었다. 이강인은 2001년생 미드필더로 발렌시아 유스 시스템을 통해 성장했다. 유스 무대를 뒤흔들며 발렌시아를 이끌 선수로 지목됐다. 일찍이 1군에 데뷔해 영향력을 행사했다. 공을 다루는 기술과 패스 능력이 상당히 좋았다. 주로 공격형 미드필더로 나섰는데 좌우 측면 미드필더도 소화했다,인터풋볼,축구,신동훈,2022-07-29 9:14,15,2022-07-29 9:14,15,15
6,3연전인데 '땜빵'이 2번... '선발 공백' 두산의 차가운 현실,후반기 시작이었던 SSG 랜더스와 시리즈를 2패로 마쳤던 두산은 6위 경쟁팀인 롯데 자이언츠를 만나 스윕승을 만들었다. 3연전 동안 20점을 올리면서 득점력에 대한 우려도 가라앉혔다. 선발투수였던 최원준-이영하-로버트 스탁 모두 5이닝 이상을 소화하며 안정적인 모습을 보였다.,스타뉴스,야구,양정웅,2022-07-29 11:17,16,2022-07-29 11:18,16,16
7,체중 감량에 성공하더니 '8초의 쇼'까지 '우리 '먹튀'가 달라졌어요',"2019년 첼시에서 레알 마드리드로 이적한 그의 몸값은 무려 1억5000만유로(약 2000억원)였다. 하지만 레알 마드리드에서 아자르는 고난의 연속이었다. 잦은 부상으로 자기관리에 실패했고, 과체중으로 비난을 받았다.",스포츠조선,축구,김성원,2022-08-01 9:16,20,2022-08-01 9:16,20,20
8,"세월 무상' 오승환, 끝판대장 면모 어디로…7월 4블론",오승환은 7월 한 달 동안 7경기에 등판했으나 한 번도 세이브를 수확하지 못했다. 2패 1홀드 평균자책점 12.79가 오승환이 7월에 받아든 성적표다. 전반기에 한 차례에 불과했던 불론세이브를 한 달 동안 4번이나 저질렀다.,NEWSIS,야구,김희준,2022-08-01 13:10,21,2022-08-01 13:11,21,21
