ccgSeq,ifcgAnother,ifcgName,ifcgNameEng,ifcgUseNy,ifcgOrder,ifcgExplanation,ifcgDelNy,ifcgReferencev1,ifcgReferencev2,ifcgReferencev3,ifcgReferenceI1,ifcgReferenceI2,ifcgReferenceI3
1,NULL,통신사,radio_operator,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
2,NULL,성별,gender,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
3,NULL,등급,grade,1,3,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
4,NULL,해외,abroadNY,1,4,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
5,NULL,종목,event,1,5,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
6,NULL,리그,league,1,6,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
7,NULL,팀,team,1,7,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
8,NULL,경기장,stadium,1,8,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
